Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
SHOT,counter01,102,4002345A,294138555920,Test3,13:18:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:18:52,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:18:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:04,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:13,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:21,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:24,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:28,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:32,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:50,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:19:57,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:14,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:17,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:26,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:30,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:20:38,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:00,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:04,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:19,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:22,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:27,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:43,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:52,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:21:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:00,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:04,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:13,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:17,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:23,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:28,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:35,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:38,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:41,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:44,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:52,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:22:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:13,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:16,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:23,2021-03-13
